look	l--- 見える、見る
cookie	クッキー
end	終わり
grade	成績、学年、等級
grandfather	祖父
hall	ホール、会館、集会所、役所
letter	手紙、文字
parade	パレード
performance	上演、演技、演奏
salad	サラダ
website	ウェブサイト
actor	俳優
animal	動物
astronaut	宇宙飛行士
chocolate	チョコレート
comedy	喜劇、コメディー
fruit	果物
future	未来、将来
goal	得点、ゴール、目標
hobby	趣味
license	免許証、免許
locker	ロッカー
machine	機械
magazine	雑誌
model	模型、型、モデル
notice	掲示、通知[お知らせ]
paper	紙
question	質問
recipe	作り方、調理法
rule	規則、ルール
season	季節、時期
sofa	ソファ
tour	旅行、ツアー
video	ビデオ、映像
winner	優勝者、勝利者
accident	事故
answer	答え、返事
bank	銀行
copy	コピー、複写
dentist	歯医者、歯科医
famer	農場経営者
horse	馬
junior high school	中学校
kitchen	台所
race	レース、競走
sign	看板、掲示
snowboard	スノーボード
subject	件名、教科
tiger	トラ
toy	おもちゃ
visitor	訪問者、観光客
crowded	混雑した
easy	簡単な
fast	速い
half	半分の
hungry	空腹の
afraid	怖がって、恐れて
cloudy	曇った
dirty	汚れた、汚い
funny	おかしい、こっけいな
poor	貧しい、へたな
such	そのような、このような
warm	暖かい
international	国際的な
wet	ぬれた
alone	1人で
else	その他に
however	しかしながら
part-time	パートタイムで、非常勤で
abroad	海外で[に]
finally	ついに、最後に
someday	いつか、そのうちに
either	～もまた（～ない）
even	～でさえ、さらに
beside	～のそばに、～と並んで
through	～通り抜けて、～通して
herself	彼女自身、（を[に]）
anyone	誰か、誰も（～ない）
myself	私自身、（を[に]）
climb	登る
cover	おおう
die	死ぬ
follow	従う、ついて行く
hit	ぶつける、ぶつかる、打つ
injure	けがをする、傷つける
lend	貸す
plant	植える
receive	受け取る
start	始める、始まる
steal	盗む
taste	の味がする
cry	なく、叫ぶ
fall	落ちる
fix	修理する
invent	発明する
kill	殺す
paint	描く、ペンキを塗る
serve	出す
adult	大人
bathroom	浴室、トイレ
bicycle	自転車
captain	主将、船長
church	教会
coach	コーチ、監督、指導者
comic	漫画本
doughnut	ドーナツ
dress	ドレス
experience	経験
gate	門
horror	ホラー、恐怖
language	言語
nature	自然
noon	正午
owner	所有者
person	人
pond	池
price	値段、価格
schedule	予定
staff	職員、スタッフ
stage	舞台、ステージ
uniform	制服、ユニフォーム
volunteer	ボランティア
award	賞、賞品
basket	かご
boss	上司
classmate	同級生、クラスメート
court	コート
dessert	デザート
dream	夢
environment	環境
exam	試験、テスト
fashion	ファッション、流行
field	野原、競技場、グラウンド
forest	森、森林
hole	穴
kilogram	キログラム
life	生涯、生活、命
meat	肉
meter	メートル
mind	心、精神
package	包み、小荷物
painting	絵、絵を描くこと
platform	プラットフォーム
project	研究課題、計画、事業
road	道路、道
rock	ロック、岩
scientist	科学者
score	点数
shape	形
side	側、側面
sightseeing	観光
steak	ステーキ
stomachache	腹痛、胃痛
dark	暗い
foreign	外国の
full	満員の、いっぱいの、満腹で
local	その土地の、地元の
silent	静かな、無言の
snowy	雪の降る、雪の多い
true	本当の、真実の
wonderful	すばらしい
bright	光り輝く、明るい
careful	気をつける、注意深い
fresh	新鮮な
million	100万の
national	国民の、国立の、全国的な
rich	金持ちの、裕福な
several	数個の、いくつかの
thirsty	のどが渇いた
below	下に[へ]
everywhere	いたるところに[で]、どこでも
anytime	いつでも
anywhere	どこかへ[に]、どこへ[に]も（～ない）
carefully	注意深く
inside	～の中に[で、へ]
across	～を渡って、～を横切って
behind	～の後ろに
without	～なしで、～しないで
someone	誰か、ある人
burn	燃える、燃やす
cross	横断する、渡る
cut	切る
exchange	交換する
explain	説明する
imagine	想像する
mean	意味する
pull	引く
reach	着く、届く
shut	閉める、閉まる
smell	においがする、においをかぐ
action	アクション、行動
actress	女優
belt	ベルト
body	体
butter	バター
button	押しボタン、（衣服の）ボタン
capital	首都
center	センター、中心、中央
century	世紀
convenience store	コンビニエンスストア
culture	文化
customer	客
date	日付
elementary school	小学校
elevator	エレベーター
fact	事実
fever	熱
flight	飛行機の便、飛行
fridge	冷蔵庫
grandson	男の孫、孫息子
horizon	地平線、水平線
interview	面接、面談、インタビュー
kid	子ども
living room	居間
medal	メダル
memory	思い出、記憶（力）
middle	真ん中、中央
mirror	鏡
mushroom	キノコ、マッシュルーム
musician	音楽家、ミュージシャン
mystery	推理小説、ミステリー
panda	パンダ
power	力、動力
program	番組、計画
queen	女王、王妃
social studies	社会科
soldier	兵士、軍人
stew	シチュー
sugar	砂糖
suit	スーツ
swimsuit	水着
symbol	象徴
tooth	歯
tourist	観光客、旅行者
type	型、タイプ
waiter	ウエーター
war	戦争
aquarium	水族館
barbecue	バーベキュー
firework	花火、花火の打ち上げ
hill	丘、（低い）山
homestay	ホームステイ
hometown	故郷
musical	ミュージカル
president	大統領、会長、学長
rocket	ロケット
shrine	神社
statue	像、彫像
suitcase	スーツケース
sweater	セーター
traditiion	伝統
worker	働く人、労働者
billion	10億の
boring	退屈な
central	中心の、中央の
clear	澄んだ、晴れた
clever	利口な
deep	深い
enjoyable	楽しい、おもしろい
final	最終の、最後の
loud	大きい
lucky	運のよい
narrow	狭い
perfect	完ぺきな、完全な
short	短い、背の低い
simple	簡単な、質素な
tight	きつい
top	いちばん上の
usual	いつもの、ふつうの
whole	全体の
actually	実は、実際に
anymore	今はもう[これ以上]（～ない）
anyway	とにかく、いずれにしても
luckily	幸運にも
pretty	かなり、とても
quickly	すばやく、速く、すぐに
sometime	いつか、かつて
between	（2つ[2人]）の間に[で]
as	～として
attend	出席
boil	ゆでる
cancel	取り消す、中止する
continue	続ける、続く
laugh	笑う
prepare	準備する
protect	保護する
push	押す
recycle	再生利用する
rest	休む、休憩する
share	共有する、分け合う
smile	ほほえむ
touch	触れる、触る
activity	活動
address	住所、（メールの）アドレス
advice	助言、アドバイス
air	空気
alarm	目覚まし時計、警報（器）
block	1区画
bridge	橋
ceremony	式、儀式
chance	機会
chef	シェフ、料理長
costume	衣装
difference	違い
energy	エネルギー
entrance	入口
figure	図、図表、人物、数字
flag	旗
garbage	ごみ
glove	手袋、グローブ
guide	ガイド、案内人
hamburger	ハンバーガー
headache	頭痛
hright	高さ、身長
hero	英雄、主人公
island	島
jazz	ジャズ
jeans	ジーンズ
judge	審査員、審判員
juice	ジュース
leaf	葉
manager	支配人、管理者、経営者
meal	食事
message	伝言、メッセージ
midnight	夜中の12時、真夜中
novel	小説
oil	油
oven	オーブン
page	ページ
pancake	パンケーキ
passenger	乗客
peace	平和
planet	惑星
pocket	ポケット
point	得点、地点、要点
promise	約束
radio	ラジオ
scarf	スカーフ、マフラー
scene	場面
sight	視力、視界、光景
stomach	腹、胃
storm	嵐、暴風雨
support	支援、支持
system	制度、系統、体系
telephone	電話
tie	ネクタイ
trouble	面倒、悩み事
voice	声
wish	祈願する言葉、願い、望み
broken	折れた、壊れた
comfortable	快適な、心地よい
dangerous	危険な
excellent	優れた、優秀な
familiar	見慣れた、よく知られた
helpful	役に立つ
noisy	騒がしい
