look	l--- 見える、見る
How do [did] you like ~ ?	～はどうですか。～は気に入っていますか。
How is [was] ~ ?	～（の様子）はどうですか。
How long does it take to do ~ ?	～するのにどれくらいの時間がかかりますか。
I agree.	そう思います。同感[賛成]です。
I can't decide.	決められません。
I can't wait to do ~ .	～するのが待ちきれません。
I don't think so.	私はそうは思いません。
I heard ...	・・・だそうですね。・・・と聞きました。
I hope ...	・・・だといいな。・・・とであることを望んでいます。
I hope so.	そうだといいな。そう望みます。
I see.	わかりました。なるほど。
I think so, too.	私もそう思います。
I'd be glad [happy] to.	喜んで。
I'd like to do ~ .	～したいのですが。
I'd love to.	ぜひそうしたいです。
I'll be right back.	すぐに戻ります。
I'll be there (soon) .	（すぐに）そちらへ行きます。
I'll think about it.	（それについて）考えておきます。
I'm afraid ...	あいにく[残念ながら] ・・・です。
I'm afraid not.	残念ながら、違います[できません]。
I'm coming.	今行きます。
I'm full.	おなかがいっぱいです。
I'm glad you like it.	気に入ってくれてうれしいです。
I'm just looking.	見ているだけです。
I'm not from here.	私はここの者ではありません。不案内なもので。
I'm not sure.	わかりません。
I'm sure ...	きっと・・・だと思います。
Is anything wrong?	どうしましたか。何か問題がありますか。
(It's) my pleasure.	どういたしまして。
It's time for ~.	～の時間です。
It's time to do ~.	～する時間です。
Just a moment [minute] .	ちょっとお待ちください。
Let me see.	ええと。
May [Can] I help you?	何かお手伝いしましょうか。いらっしゃいませ。
May [Can/Could] I speak to A?	Aをお願いいたいのですが。
Me, neither.	私も（～ではありません）。
Me, too.	私も。
Nice talking to you.	お話しできてよかったです。
Nice to see you (again) .	(また)会えてうれしいです。
No problem.	いいですよ。問題ありません。どういたしまして。
No,thanks [thank you] .	いいえ、結構です。
Not at all.	まったくそんなことはありません。どういたしまして。
Not really.	それほどでもないです。そうでもないです。
Not yet.	まだです。
Of course.	もちろん。いいですよ。
Same to you.	あなたもね。
See you later.	また後でね。
Sounds good [nice/great] .	いいですね。
Speaking.	（電話で）私です。
Take care.	じゃあね。気を付けてね。
Thanks anyway.	とにかくありがとう。
Thanks [Thank you] for doing ~ .	～してくれてありがとう。
(That ) sounds like fun.	（それは）楽しそうですね。
That would be great [nice] .	それはいいですね。
That's a good idea.	それはいい考えです。
That's all.	それだけです。それで全部です。
That's fine (with me) .	（私は）それで大丈夫[いい]です。
That's right.	そのとおりです。
That's too bad.	それは気の毒[残念]です。
That's very kind of you.	ご親切にありがとうございます。
There's something wrong with ~ .	～の調子が悪いです。
This is ~ .	（電話で）こちらは～です。
Welcome (to ~ ) .	（～へ）ようこそ。
What do you do (now) ?	（今）お仕事は何をしていますか。
What do you think of ~ ?	～をどう思いますか。
What happened ?	何があったのですか。
What would you like (for ~) ?	（～には）何がいいですか。
What's the matter?	どうしたのですか。
What's the problem?	どうしたのですか。
What's wrong with ~ ?	～はどうしたのですか。～のどこが悪いのですか。
Why do you think so?	どうしてそう思うのですか。
Why don't we do ~ ?	（一緒に）～しませんか。
Why don't you do ~ ?	～してはどうですか。
Why not?	どうして？もちろん。そうしよう。
Would you like to do ~ ?	～しませせんか。～したいですか。
You can do it.	あなたならできますよ。
You did a great [good] job.	とてもよくできました[よくできました]。
(You) go ahead.	先に行ってて。お先にどうぞ。
You have the wrong number.	番号をお間違えです。
You're welcome.	どういたしまして。
