believe	〜を信じる
flourish	繁盛する、繁殖する
thrive	栄える、繁栄する、成長する
venture	思い切って、着手する、賭ける
accustom	を慣れさせる
rear	を育てる、を飼育する
inherit	を相続する、を受け継ぐ
blossom	開花する
esteem	を尊敬する
merchant	商人
fare	運賃
voyage	航海、宇宙旅行
crew	乗組員、乗務員
luggage	手荷物
horizon	水平線、地平線
lightning	稲光、稲妻
dawn	夜明け、始まり
astronomy	天文学
statistics	統計、統計学
dimension	局面、面、寸法、次元
faculty	才能、機能、学部
scheme	計画、陰謀
viewpoint	見地
output	生産、出力
outlook	見通し、眺め
tuition	授業料、個人指導
proverb	ことわざ
biography	伝記
narrative	話、物語
chapter	章
string	ひも、糸、一続き、一つなぎ
tag	札、値札
peasant	小作農
livestock	家畜
famine	飢饉
fatigue	疲労
motive	動機
sweat	汗
peer	同等の人、仲間
glance	ちらりと見ること、一見
glimpse	ちらりと見えること
luxury	ぜいたく品、ぜいたく
prosperity	繁栄
fame	名声
keen	熱中して、大好きで
inclined	...したいと思う傾向がある
competent	有能な、満足できる
superior	優れている
inferior	劣った
cruel	残酷な
indifferent	無関心な
ashamed	恥じて
bold	大胆な、勇敢な
ridiculous	ばかげた
ugly	醜い、不格好な、不愉快な
pale	青白い、淡い
male	男性の
manual	手による、手動、体を使う
mutual	相互の、共通の
delicate	取り扱いの難しい、繊細な
deliberate	故意の、慎重な
gradual	徐々の、緩やかな
loose	緩い、解き放たれた
bitter	つらい、苦い、痛烈な
mild	温暖な、穏やかな、軽い
dense	密集した、濃い
tense	張り詰めた、ぴんと張った
conceive	を抱く、思いつく、想像する
confess	を告白する、を認める
conform	従う、一致する
offend	を怒らせる、罪を犯す
envy	をうらやむ
boast	自慢する
dare	あえて～する、～する勇気がある
confine	を限定する、閉じ込められる
contradict	と矛盾する、を否定する
compensate	に補償する、埋め合わせる
coincide	同時に起こる、一致する
assure	に安心させる、に保証する
attain	を達成する、に到達する
inquire	を尋ねる
invade	を侵略する、侵害する
conquer	を征服する
persist	固執する、持続する
last	続く、長持ちする
surrender	を引き渡す、降伏する
betray	を裏切る、を漏らす
strain	をぴんと張る、を痛める、を最大限に働かせる
refrain	控える
scatter	をまき散らす
spill	をこぼす、こぼれる
prevail	普及する、勝る
starve	飢えに苦しむ、渇望する
digest	を消化する
disguise	を変装させる、を包み隠す
strip	から剥奪する、を取り去る
scratch	をかく、を引っかく
bathe	を入浴させる、を浸す
soak	を浸す、をずぶぬれにする
stir	をかき回す、呼び起こす
wind	曲がりくねる、を巻く
heal	を治す、癒やす
knit	を編む
sew	を縫いつける
dye	を染める
beg	を懇願する、請う
pray	祈る、懇願する
congratulate	に祝いの言葉を述べる
summit	頂上、首脳会談
mayor	市長
secretary	秘書、長官、大臣
council	議会、評議会
panel	委員会、討論者、羽目板、計器盤
jury	陪審
quarrel	口論
divorce	離婚
thief	泥棒
refuge	避難、避難所
mercy	情け、慈悲
caution	用心、注意、警告
pity	残念なこと、哀れみ
sorrow	悲しみ
grief	深い悲しみ、悲しみの原因
despair	絶望
suicide	自殺
ambulance	救急車
funeral	葬式
grave	墓
virtue	美徳、長所
legend	伝説
prestige	威信、名声
glory	栄光、全盛
dignity	尊厳、威厳
worship	崇拝、礼拝
criterion	基準
consent	承諾、同意
triumph	勝利、歓喜
circulation	血行、流通、発行部数
merit	優秀さ、長所、価値
appetite	食欲、欲求
nutrition	栄養摂取、栄養
decay	虫歯、衰退、荒廃、腐敗
atom	原子
boom	好況、急上昇
valid	正当な根拠のある、有効な
due	予定で、締め切りの
vacant	空いている
bare	裸の、露出した
naked	裸の、草木の生えない
obscure	わかりにくい、ぼんやりした
peculiar	特有の、風変わりな
tidy	整然とした
minute	微小な
vague	漠然とした
steep	急な、急激な
humid	湿気のある
earnest	真剣な、本気の
absurd	ばかげた
hostile	反感を持った、敵意のある
idle	使われていない、仕事がない、怠けた
jealous	嫉妬深い
loyal	忠実な
supreme	最高の、最大の
infinite	無限の
static	変化のない、静止状態の
thorough	徹底的な、完全な
immense	計り知れない、膨大な
