280. adjust	慣れる
281. apply	当てはまる
282. suit	に適している
283. case	場合
284. scene	場面
285. chance	(向こうからやってきた)機会
286. opportunity	(自分から得ようと思った)機会
287. experience	経験
288. time	時間
289. spring	春
290. minute	分
291. period	時代
292. generation	世代
293. anniversary	記念日
294. recently	最近
295. used	以前は(～だった)
296. early	早く
297. first	第1の
298. latest	最新の
299. modern	現代の
300. latter	後半の
301. spend	(を)費やす
302. delay	(～を)遅らせる
303. borrow	(～を)借りる
304. lend	(～を)貸す
305. rent	(お金を払って～を)借りる
306. provide	(～を)供給する
307. shelf	棚（の一段）
308. board	（細長い）板
309. garbage	ごみ
310. item	品物(項目)
311. wheel	車輪
312. note	メモ
313. present	プレゼント(現在)
314. stuff	（漠然とした）もの
315. string	ひも
316. leisure	余暇
317. diet	食事
318. furniture	家具
319. refrigerator	冷蔵庫
320. traffic	交通（量）
321. jam	渋滞
322. sell	(～を)売る
323. pay	(を)支払う
324. wear	(～を)身につけている
325. clothes	服
326. marry	(～と)結婚する
327. greet	(～に)挨拶する
328. order	(～を)注文する(～に命令する)
329. room	部屋(余地)
330. story	階
331. site	用地
332. yard	庭
333. bottom	底
334. line	列(縦・前後)
335. row	列(横・左右)
336. background	背景
337. direction	方向(指示)
338. art	芸術(技術)
339. culture	文化
340. cartoon	漫画
341. novel	小説
342. instrument	楽器(器具)
343. tune	曲
344. sentence	文
345. article	記事
346. passage	一節
347. vocabulary	語彙
348. rumor	うわさ
349. spell	(～を)つづる
350. pronounce	(を)発音する
351. sign	兆候(印)
352. mean	(～を)意味する
353. publish	(～を)出版する
354. display	(～を)展示する
355. trust	(～を)信頼する
356. depend on	(～)次第である
357. rely	頼る
358. pray	祈る
359. beg	(～を)嘆願する
360. prefer A to B	BよりAを好む
361. weep	しくしく泣く
362. hate	(～を)嫌う
363. worry	心配をする
364. anxious	心配して
365. satisfy	(～を)満足させる
366. annoy	(～を)いらだたせる
367. bother	(～に)面倒をかける
368. disturb	(～に)迷惑をかける
369. frighten	(～を)おびえさせる
370. upset	(～を)動揺させる
371. regret	(～を)後悔する
372. favor	親切な行為
373. interest	関心
374. pity	残念なこと
375. due to	(...が)原因で
376. reason	理由
377. result	結果
378. effect	効果
379. influence	影響（力）
380. cause	(～を)引き起こす
381. affect	(～に)影響を与える
382. way	方法
383. manner	方法
384. purpose	目的
385. sake	ため
386. right	ちょうど
387. complete	完全な
388. hardly	ほとんど(～)ない
389. nearly	ほとんど
390. partly	ある程度(部分的に)
391. actually	実は
392. indeed	実際に
393. even	さえも
394. exactly	正確に
395. gradually	徐々に
396. therefore	それゆえに
397. instead	代わりに
398. until	(〜)まで（ずっと）
399. besides	(～)に加えて
400. except	(～)を除いて
401. debate	討論 [～を討論する]
402. criticize	[～を]批判する
403. accuse	[～を]非難する[～を告訴する]
404. insist	[（on)～と）]言い張る[（強く）主張する]
405. object	[（to）～に感情的に]反対する [物 目的（嘲笑，欲望などの）対象]
406. protest	（against ～）（～に対して）抗議する [抗議]
407. controversial	論争を招く[物議をかもす]
408. bound	（to do）きっと～（する，～する［である］に違いない） （for ～行きで)
409. bet	(that S Vきっと～だと思う) [～を]賭ける
410. congratulate	（人を)祝う(～にお祝いを述べる)
411. praise	（A for B）（AをB のことで）褒める[称える 賞賛]
412. honor	名誉[栄誉,～を敬う]
413. chat	おしゃべりする [おしゃべり]
414. refer	（to ～）（人が～に）言及する[参照する,示す]
415. mention	(について)述べる(言及する)
416. convey	(～を)伝える （乗客，音，病気などを運ぶ)
417. emphasize	(～を)強調する
418. exaggerate	(～を)誇張する (大げさに言う)
419. reply	（to ～）（～に）返事をする(答える,返事，答え)
420. respond	（to ～）（手紙や問いなどに）返答する （to ～に対応する，反応する)
421. whisper	ささやく (ささやき,声）
422. remark	(発言)(～と)発言する
423. observe	(～を)観察する（that S V）（気づいたことを～と述べる) （規則などを遵守する )（記念日などを祝う)
424. theory	理論 （学説)
425. analysis	分析
426. experiment	実験 (実験する)
427. device	装置
428. phenomenon	現象 (特異なもの，天才)
429. substance	物質 (本質，根拠)
430. chemical	（通例 －s）化学物質 (化学の)
431. fuel	燃料 （感情などを大きくする)
432. nuclear	原子力の(核の)
433. statistics	統計（値）〈複数扱い〉 (統計学〈不可算〉)
434. pursue	(～を)追求する(続ける ～を追跡する)
435. accomplish	(～を)やり遂げる
436. overcome	(～を)克服する
437. fulfill	（義務，願望などを)果たす （必要などを満たす)
438. devote	（A to B） （AをB に）ささげる
439. aim	狙う （-ed at ～向けだ )(狙い，目的)
440. challenge	難問(課題)(～に異議を唱える)
441. trial	試み (裁判,試練)
442. dizzy	めまいがして
443. pale	（顔色が）青白い(青ざめた,色が淡い)
444. appetite	食欲
445. starve	（be －ing）とてもお腹が空いている (餓死する)
446. mental	精神の (知力の)
447. rest	休憩 （the －残り) （横になったりして休む) （on ～）（～次第だ) (～を休ませる)
448. ache	痛み (痛む)
449. surgery	手術 (外科)（① ②ともに〈不可算〉)
450. disease	病気
451. symptom	（通例 －s）症状(兆候)
452. cancer	がん （C－カニ座)
453. ambulance	救急車
454. recover	（from ～）（～から）回復する （盗品などを取り戻す)
455. sore	（のどや筋肉が）痛い （話題など触れてほしくない，心が痛む)
456. swell	（手足などが）腫れる （風船，費用などが膨らむ)
457. cough	咳をする (咳〈可算〉)
458. bleed	出血する
459. faint	（色，光などが）かすかな (気絶する, 気絶)
460. exhaust	[～を]疲れ果てさせる (～を使い果たす) (排出，排気ガス)
461. cure	(～を)治療する (治療法)
462. disabled	障がいのある （the －）（集合的に）(障がいのある人)
463. stiff	（筋肉などが）凝った，（動かすと痛い) (堅い)
464. muscle	筋肉
465. tongue	舌 (言語，言葉) （have a ～ tongue 話し方)
466. sense	感覚 (分別,意味) （何となく～を感じる)
467. sweat	汗（通例〈不可算〉） (汗をかく)
468. nationality	国籍
469. citizen	市民 (国民)
470. civil	（一般）市民の (国内の,礼儀正しい)
471. racial	人種の(民族の)
472. domestic	国内の(家庭内の)
473. rural	田舎の
474. suburb	（通例the －s）郊外
475. border	国境（地帯）(境界,～を縁取る)
476. burden	重荷(負担)
477. impact	（on）（～への）影響 （物体間の衝撃) （on）（～に影響を及ぼす)
478. status	地位（特定の時点の状況)
479. equal	（to）（～に）等しい(平等な,に等しい)
480. relationship	関係(親密な関係) 〈可算〉
481. reputation	（人，物の）評判〈可算〉
482. trend	（世の中の）風潮(傾向,流行)
483. service	（政府あるいは企業による）事業(制度)（電車，バスの便)(サービス，接客〈不可算〉)
484. religion	宗教
485. moral	道徳的な （物語の教訓) （－s 道徳)
486. standard	基準(水準,標準の)
487. prosperity	繁栄
488. crisis	危機
489. prejudice	偏見(先入観)(～に偏見をもたせる)
490. discrimination	差別(識別)
491. charity	慈善（事業）〈不可算〉(慈善団体〈可算〉 )(慈善のための)
492. benefit	恩恵 （－s 手当)（from）（～から利益を得る)(～に利益を与える)
493. welfare	福祉 （健康なども含めた幸福,生活保護)
494. community	（地域）社会(共同体（の人々）)
495. individual	個人(個体,個人の，個々の)
496. official	役人(役員,公式の)
497. immigrant	（外国からの）移民
498. volunteer	ボランティア （to do）（～することを）進んで引き受ける
499. contribute	（to）（～に）貢献する （の一因となる)（A to B）（A）をB に寄付する，提供する)
500. abolish	(～を)廃止する
501. impose	（A on B）（AをB に）課す(押しつける)
502. access	利用する権利 （場所への接近方法)
503. duty	義務(関税)
504. compulsory	義務的な(規定の)
505. responsible	（人が主語）責任がある （物が主語:原因となっている)
506. policy	政策 (方針,保険契約，約款)
507. elect	(～を選挙で）選ぶ
508. industry	工業 （the ～ industry 産業，業界,勤勉)
509. income	収入
510. profit	利益(利潤)
511. tax	税金（〈米〉→〈可算〉 〈英〉→〈不可算〉）
512. expense	費用(経費,（at the － of ～を犠牲にして）
513. debt	借金
514. deposit	預金(頭金，保証金,埋蔵物,～を預ける)
515. charge	料金 (責任，管理) （against ～に対する非難，告訴) (を請求する,を告訴する,を充電する)
516. wage	賃金 （闘争，運動などを行う)
517. recession	不況(不景気)
518. consume	(～を)消費する
519. waste	(～を)浪費する (浪費，無駄,廃棄物〈不可算〉)
520. invest	（A in B）（AをB に）投資する （A with B）（AにB を与える)
521. import	(～を)輸入する (輸入，輸入品)
522. financial	財政的な(金銭的な)
523. hire	(～を一時的に）雇う （金を払って～を借りる)
524. employ	（人を)雇う （物，事を用いる)
525. resign	（as ～を）辞職する （地位などを辞める)
526. qualify	（for ～の）資格がある （as ～としての資格を得る) (～に資格を与える)
527. assign	(～を)割り当てる (～を配属する)
528. occupation	職業〈可算〉 (占有，占領〈不可算〉)
529. career	職業 (経歴)
530. profession	（専門的な）職業 （the 同業者集団)
531. unemployment	失業 (失業率（＝－rate），失業者数 )
532. document	書類(資料,を記録する)
533. department	（組織の）部門(課,学科,省)
534. branch	支店(支局,(学問の)部門,枝)
535. retail	小売り〈不可算〉(小売りされている)
536. system	組織(制度,体系) （①②ともに〈可算〉）
537. structure	構造
538. architecture	建築（様式）〈不可算〉
539. construction	建設〈不可算〉
540. function	機能 (機能する)(製品がdoするもの)
541. surface	表面(表面化する)
542. aspect	側面
543. edge	端 （ナイフなどの刃,優位)
544. consist	（of ～で）構成されている （in ～にある)
545. compose	(～を)構成する(組み立てる,を作曲［作文］する,を落ち着かせる)
546. attach	(～を)くっつける(添付する,に愛着を持たせる)
547. connect	(～を)つなげる(を関連づける,つながる)
548. relate	（A to B）（AをBに）関連づける(を順序立てて話す) （to～の気持ちがわかる)
549. associate	（A with B）（AをBと）関連づける，（連想する)（with ～と付き合う)(同僚，共同経営者)
550. stick	(～を)貼り付ける(舌や脚を出す)（to 規則などを守る，固執する)
551. separate	(～を)引き離す(別々の)
552. thief	泥棒
553. crime	犯罪
554. motive	動機
555. punish	（人for）（人を～の理由で）罰する
556. violate	（法律なに）違反する （権利などを侵害する)
557. legal	合法の (法律の，法的な)
558. enemy	敵 （敵の)
559. compete	競争する （in ～競技などに参加する)
560. defeat	（相手を)打ち負かす(敗北)
561. victim	犠牲者
562. obstacle	（to）（～に対する）障害〈可算〉
563. harm	害〈不可算〉 (に害を与える)
564. invade	（プライバシーなどを)侵害する （国などに侵入する，を侵略する)
565. endanger	(～を)危険にさらす
566. interrupt	(～を)中断する(を遮る,話を遮る)
567. spoil	(～を)台無しにする （子どもを甘やかす)
568. spectator	観客
569. relative	（家族も含めて）親戚 (相対的な)
570. enter	(～に)入る (～を入力する)（into）（ある段階などに入る)
571. accompany	（人が主語～と)一緒に行く(物が主語～に伴う)
572. departure	出発(逸脱)
573. destination	目的地（tourist －旅行先，観光地)
574. transportation	交通機関〈不可算〉
575. via	(～)経由で(～によって)
576. lead	（to）（～に）至る（a ～ life）（～な生活を送る)（A to do A に～させる)(鉛，シャーペンなどの芯)
577. rise	上がる(昇る,上昇)
578. lower	(～を)下げる
579. flow	流れる(流れ)
580. burst	破裂する(爆発する,突然～し始める)
581. crack	割れる(砕ける,パンと音を出す,を割る，砕く,割れ目)
582. melt	（固体が）溶ける(を溶かす)
583. progress	進歩(前進 〈不可算〉 進歩する，進む)
584. advance	進歩(前進 〈可算〉（軍隊などが）前進する，進歩する ,事前の)
585. deal	（with）（～を）扱う(取り引き)
586. handle	[(～を)扱う （手でを扱う，触れる,取っ手)
587. cope	（with）（～にうまく）対処する
588. treat	（副詞を伴って～を)扱う（病人，病気を治療する （A to B） （AにBをおごる,楽しみ)
589. clue	（to）（～の）手がかり
590. restrict	(～を)制限する
591. limit	（数量，範囲を)制限する (制限)
592. forbid	(～を)禁じる
593. ban	禁止〈可算〉(～を禁止する)
594. refuse	(～を)断る（to do～するのを拒む)
595. reject	(～を)拒絶する （人を除け者にする)
596. persuade	（A to do）（Aを)説得して(〜)させる
597. convince	（A of B）（AにBを）確信させる（A that S V）（Aに～を確信させる,A to do Aを説得して～させる)
598. inspire	(～を)奮起させる(かき立てる,（作品に創作のヒントを与える)
599. discourage	(～の)やる気をなくさせる(落胆させる)
600. promote	(～を)促進する （be［get］－d to （～に出世［昇進］する)
601. expand	拡大する
